parcelid,stugrd_p,stuhgh_p,stuuni_p,year
33478,420,0,0,2025
179730,175,0,0,2025
69090,486,0,0,2025
707307,60,713,0,2025
1171545,237,0,0,2025
1020640,65,65,0,2025
1226823,294,0,0,2025
769015,566,0,0,2025
843622,185,0,0,2025
90671,215,0,0,2025
840019,409,119,0,2025
937380,431,0,0,2025
238902,307,0,0,2025
202800,245,0,0,2025
911295,155,0,0,2025
889654,374,0,0,2025
760789,893,893,0,2025
903507,128,0,0,2025
796669,1217,0,0,2025
91339,7,0,0,2025
1254386,858,0,0,2025
964294,615,0,0,2025
158062,1268,0,0,2025
102105,163,0,0,2025
923448,708,0,0,2025
835758,131,0,0,2025
728199,1673,0,0,2025
74387,424,0,0,2025
1041306,33,12,0,2025
943165,424,0,0,2025
1176343,450,450,0,2025
729441,538,0,0,2025
889550,1067,0,0,2025
839037,583,0,0,2025
673334,683,0,0,2025
966745,762,0,0,2025
814955,824,0,0,2025
833058,62,0,0,2025
815047,58,58,0,2025
840329,813,0,0,2025
1151377,758,0,0,2025
53963,597,0,0,2025
126801,752,0,0,2025
183208,1093,0,0,2025
1186836,412,0,0,2025
931321,362,0,0,2025
1182467,350,0,0,2025
918149,423,0,0,2025
886182,452,0,0,2025
911806,512,0,0,2025
181183,570,0,0,2025
693302,476,0,0,2025
957933,1200,0,0,2025
224886,197,525,0,2025
873615,159,0,0,2025
220147,275,0,0,2025
40717,640,0,0,2025
889986,502,0,0,2025
714624,415,0,0,2025
127227,161,161,0,2025
1193011,219,0,0,2025
850817,512,0,0,2025
746002,432,0,0,2025
975566,1030,0,0,2025
874054,1000,0,0,2025
740502,1008,0,0,2025
108769,88,0,0,2025
226415,622,0,0,2025
112563,22,0,0,2025
973488,342,0,0,2025
235245,600,0,0,2025
1089125,204,0,0,2025
787482,648,0,0,2025
708904,619,0,0,2025
781745,408,0,0,2025
245783,174,0,0,2025
191034,722,0,0,2025
923763,293,0,0,2025
966633,796,0,0,2025
702603,332,0,0,2025
1239380,221,0,0,2025
815764,378,0,0,2025
252171,978,0,0,2025
132736,446,0,0,2025
60497,650,0,0,2025
741642,441,0,0,2025
1062368,523,0,0,2025
1090825,261,0,0,2025
78493,1368,1368,0,2025
682977,1056,0,0,2025
740520,574,0,0,2025
965882,480,0,0,2025
1110207,172,0,0,2025
135629,772,0,0,2025
862586,865,0,0,2025
777882,142,0,0,2025
930571,623,0,0,2025
1273695,52,0,0,2025
219496,740,36,0,2025
682167,322,0,0,2025
189434,620,0,0,2025
839187,495,0,0,2025
885317,441,0,0,2025
861525,1,0,0,2025
861967,557,0,0,2025
52978,421,0,0,2025
884111,487,0,0,2025
143349,762,0,0,2025
701586,752,0,0,2025
1055735,278,0,0,2025
878103,397,397,0,2025
726190,696,0,0,2025
922041,327,0,0,2025
901601,480,0,0,2025
136770,902,0,0,2025
856582,125,0,0,2025
991707,440,0,0,2025
748017,268,0,0,2025
109873,1149,0,0,2025
247669,434,0,0,2025
25559,661,0,0,2025
890777,107,0,0,2025
1149303,517,0,0,2025
1129450,430,0,0,2025
973169,652,0,0,2025
1059560,24,24,0,2025
82708,731,0,0,2025
93548,254,0,0,2025
139155,416,0,0,2025
240694,406,0,0,2025
812858,481,0,0,2025
732120,388,0,0,2025
948012,506,0,0,2025
841216,777,0,0,2025
1217362,693,0,0,2025
1184056,1388,0,0,2025
250914,358,0,0,2025
902674,410,0,0,2025
890982,580,0,0,2025
846653,324,0,0,2025
975168,499,0,0,2025
749262,921,0,0,2025
1115994,294,0,0,2025
823305,391,0,0,2025
840692,215,0,0,2025
736031,559,3,0,2025
147365,421,0,0,2025
195222,697,0,0,2025
784662,545,0,0,2025
997008,700,0,0,2025
701577,2030,0,0,2025
215364,253,0,0,2025
974305,391,0,0,2025
889223,319,0,0,2025
130919,1412,224,0,2025
787830,460,0,0,2025
928468,117,117,0,2025
768570,610,0,0,2025
1193205,695,0,0,2025
201380,964,0,0,2025
799224,214,214,0,2025
1115729,130,0,0,2025
837004,694,0,0,2025
829710,99,0,0,2025
841196,274,0,0,2025
959080,62,0,0,2025
105107,529,0,0,2025
239135,418,0,0,2025
146630,816,0,0,2025
697399,584,0,0,2025
787789,1020,0,0,2025
1200505,303,0,0,2025
852667,95,0,0,2025
1048224,325,0,0,2025
1180433,308,0,0,2025
741177,894,0,0,2025
786869,822,987,0,2025
258918,502,0,0,2025
797351,915,0,0,2025
917773,597,0,0,2025
719374,392,0,0,2025
108759,426,0,0,2025
958242,306,0,0,2025
204405,583,0,0,2025
734086,295,0,0,2025
1043733,284,0,0,2025
216545,169,0,0,2025
1133298,2,0,0,2025
237262,496,0,0,2025
850551,113,0,0,2025
889529,290,0,0,2025
958750,674,1286,0,2025
201745,713,0,0,2025
904236,959,959,0,2025
1097885,320,0,0,2025
957927,723,0,0,2025
472521,783,0,0,2025
527985,1310,0,0,2025
372473,610,0,0,2025
390354,602,0,0,2025
547838,231,0,0,2025
607265,127,0,0,2025
658909,551,0,0,2025
324902,330,0,0,2025
395158,95,0,0,2025
401236,247,0,0,2025
465606,297,0,0,2025
528123,26,0,0,2025
560753,638,0,0,2025
645199,433,0,0,2025
290667,1045,0,0,2025
354755,519,0,0,2025
624546,518,0,0,2025
1580,573,0,0,2025
3286,316,0,0,2025
298348,483,0,0,2025
472261,959,0,0,2025
495073,496,0,0,2025
554872,652,0,0,2025
573070,851,0,0,2025
2216,256,0,0,2025
430203,167,0,0,2025
457446,274,0,0,2025
476370,243,0,0,2025
481338,670,0,0,2025
1959,160,0,0,2025
352992,659,0,0,2025
469895,347,0,0,2025
275361,21,0,0,2025
341317,230,230,0,2025
376994,234,0,0,2025
400466,642,0,0,2025
529729,409,0,0,2025
547563,187,0,0,2025
607374,315,0,0,2025
616565,607,1366,0,2025
419914,388,0,0,2025
458918,456,0,0,2025
462702,487,0,0,2025
1385,1362,0,0,2025
280971,313,0,0,2025
336750,514,0,0,2025
487966,185,0,0,2025
547590,384,0,0,2025
616554,356,0,0,2025
829,84,0,0,2025
410361,594,0,0,2025
314052,334,334,0,2025
331507,16,16,0,2025
400525,552,1674,0,2025
457616,582,0,0,2025
302353,70,0,0,2025
401857,375,0,0,2025
519225,1405,0,0,2025
528680,714,0,0,2025
595150,2070,0,0,2025
671350,221,0,0,2025
3158,385,385,0,2025
294134,690,0,0,2025
564686,350,0,0,2025
636919,436,0,0,2025
664140,206,0,0,2025
347844,348,0,0,2025
472436,216,0,0,2025
615963,719,0,0,2025
651501,439,0,0,2025
2280,787,0,0,2025
286097,523,0,0,2025
365492,319,0,0,2025
393146,520,0,0,2025
493735,339,0,0,2025
549019,221,0,0,2025
572512,1197,695,0,2025
666224,10,10,0,2025
470644,1222,0,0,2025
508533,242,0,0,2025
602156,647,0,0,2025
286374,460,0,0,2025
390158,664,0,0,2025
493066,457,0,0,2025
535479,1063,0,0,2025
593597,375,0,0,2025
668791,562,0,0,2025
1430,401,0,0,2025
286342,75,0,0,2025
535065,358,358,0,2025
585280,527,0,0,2025
463686,56,0,0,2025
497511,874,874,0,2025
563657,676,0,0,2025
269532,818,0,0,2025
280383,101,101,122,2025
321803,936,0,0,2025
406716,681,0,0,2025
482849,267,0,0,2025
615611,516,0,0,2025
311392,197,0,0,2025
350275,646,0,0,2025
430105,397,0,0,2025
278473,614,0,0,2025
386211,360,0,0,2025
455593,12,12,0,2025
616229,288,0,0,2025
2065,215,0,0,2025
263888,372,0,0,2025
408926,425,0,0,2025
462237,271,0,0,2025
307672,75,0,0,2025
430362,544,0,0,2025
488799,523,0,0,2025
516225,1,0,0,2025
595655,715,0,0,2025
468987,432,0,0,2025
507420,390,0,0,2025
661248,286,0,0,2025
665819,219,0,0,2025
305571,60,0,0,2025
432775,674,0,0,2025
579279,354,0,0,2025
595194,373,0,0,2025
264762,535,0,0,2025
406689,325,0,0,2025
473254,1024,0,0,2025
474008,633,0,0,2025
493353,74,0,0,2025
511830,368,0,0,2025
672506,398,0,0,2025
293616,1252,0,0,2025
474094,392,0,0,2025
566570,267,0,0,2025
3255,366,0,0,2025
432340,329,0,0,2025
470517,261,0,0,2025
472023,314,314,0,2025
480271,114,0,0,2025
796,382,0,0,2025
446655,671,0,0,2025
566146,380,0,0,2025
573100,442,0,0,2025
587146,737,0,0,2025
277226,975,59,0,2025
326004,457,0,0,2025
636549,559,0,0,2025
637376,296,0,0,2025
1405,561,0,0,2025
1549,15,0,0,2025
2276,566,0,0,2025
383193,74,0,0,2025
408930,343,0,0,2025
411052,312,0,0,2025
431724,535,0,0,2025
671187,346,0,0,2025
431876,663,0,0,2025
521324,383,0,0,2025
537063,492,0,0,2025
545295,599,0,0,2025
559011,1022,1612,0,2025
430376,955,955,0,2025
460694,463,0,0,2025
470877,260,0,0,2025
582901,1097,0,0,2025
607025,315,0,0,2025
1370,346,0,0,2025
300703,666,0,0,2025
320253,28,0,0,2025
360294,400,0,0,2025
407161,728,0,0,2025
432789,730,0,0,2025
464936,488,0,0,2025
669146,711,2023,0,2025
827,485,0,0,2025
347988,790,0,0,2025
461690,728,0,0,2025
472728,707,0,0,2025
618652,524,0,0,2025
622021,398,0,0,2025
296914,207,1609,0,2025
328626,625,0,0,2025
400762,23,23,0,2025
436069,388,0,0,2025
635140,448,0,0,2025
643689,770,0,0,2025
652343,887,0,0,2025
630,312,0,0,2025
309290,431,0,0,2025
318513,394,0,0,2025
334108,703,0,0,2025
345100,133,0,0,2025
461989,291,0,0,2025
196,375,0,2480,2025
1253,411,0,0,2025
284508,324,0,0,2025
562560,430,0,0,2025
2090,415,0,0,2025
528331,371,0,0,2025
534936,1288,0,0,2025
588778,26,0,0,2025
1592,392,0,0,2025
291090,510,1093,0,2025
299217,105,0,0,2025
462262,409,0,0,2025
509041,519,0,0,2025
548217,323,0,0,2025
1404,429,0,0,2025
346267,41,0,0,2025
476226,791,791,0,2025
572264,955,0,0,2025
867,313,313,0,2025
381156,259,0,0,2025
471159,577,0,0,2025
509560,449,0,0,2025
3160,171,0,0,2025
1956,364,453,0,2025
1043446,141,0,0,2025
447462,676,0,0,2025
461965,255,0,0,2025
502436,327,0,0,2025
529627,210,210,0,2025
563667,151,0,0,2025
635139,339,0,0,2025
652964,440,601,0,2025
657696,140,0,0,2025
422532,443,0,0,2025
478392,610,0,0,2025
481300,258,0,0,2025
526011,481,0,0,2025
427648,306,0,0,2025
472637,97,0,0,2025
515618,268,0,0,2025
572777,548,0,0,2025
586517,1000,0,0,2025
625793,472,0,0,2025
1779,1246,1246,0,2025
345782,513,0,0,2025
590529,625,0,0,2025
594639,627,0,0,2025
668835,499,0,0,2025
266120,611,0,0,2025
276389,618,0,0,2025
317206,658,0,0,2025
412265,741,0,0,2025
531429,52,0,0,2025
626317,453,0,0,2025
628772,493,0,0,2025
666250,351,906,0,2025
364373,563,0,0,2025
570477,478,0,0,2025
276560,141,0,0,2025
408962,275,0,0,2025
522367,276,0,0,2025
302420,556,0,0,2025
370549,623,0,0,2025
470318,459,0,0,2025
488874,157,0,0,2025
568525,1500,1500,0,2025
652008,497,0,0,2025
661421,37,0,0,2025
353346,548,0,0,2025
526576,732,0,0,2025
1434,348,0,0,2025
1604,702,0,0,2025
381170,532,0,0,2025
382934,541,0,0,2025
432008,702,1565,0,2025
524658,445,0,0,2025
637069,614,0,0,2025
2374,131,0,0,2025
283092,57,0,0,2025
314331,569,0,0,2025
478931,364,0,0,2025
584582,520,0,0,2025
2396,340,0,0,2025
342593,63,0,0,2025
297407,436,0,0,2025
343673,1102,0,0,2025
429801,293,0,0,2025
518058,389,0,0,2025
615964,993,0,0,2025
1818,163,0,0,2025
1860,494,0,0,2025
2245,227,0,0,2025
497476,359,0,0,2025
594608,652,0,0,2025
652411,496,0,0,2025
1538,379,0,0,2025
344741,616,0,0,2025
412269,971,0,0,2025
431085,462,0,0,2025
514766,97,0,0,2025
1310,601,601,0,2025
367722,110,110,0,2025
370035,487,0,0,2025
2088,35,35,0,2025
295900,373,0,0,2025
594640,829,0,0,2025
626797,715,0,0,2025
296520,249,0,0,2025
459776,563,0,0,2025
470537,338,0,0,2025
531711,411,0,0,2025
535360,663,0,0,2025
864616,191,0,0,2025
682762,450,0,0,2025
546788,400,0,0,2025
964147,1925,1644,0,2025
679853,1072,0,0,2025
546787,649,0,0,2025
546786,446,0,0,2025
816184,87,1239,0,2025
778139,341,0,0,2025
1072150,571,0,0,2025
864669,838,0,0,2025
769316,474,0,0,2025
115670,783,0,0,2025
216666,474,0,0,2025
849833,651,0,0,2025
1255320,505,0,0,2025
804272,421,0,0,2025
884064,432,0,0,2025
1273546,62,0,0,2025
952382,285,0,0,2025
236706,2414,0,0,2025
71767,846,0,0,2025
803960,82,77,0,2025
58889,415,0,0,2025
50258,535,0,0,2025
844525,514,0,0,2025
258556,442,103,0,2025
207684,381,0,0,2025
738799,1079,0,0,2025
777555,132,0,0,2025
734085,100,1145,0,2025
49720,467,843,0,2025
800886,540,0,0,2025
199592,555,0,0,2025
142103,478,0,0,2025
221126,805,0,0,2025
958086,499,0,0,2025
71906,445,0,0,2025
720654,658,0,0,2025
728410,361,0,0,2025
966550,289,0,0,2025
258402,466,0,0,2025
224324,574,0,0,2025
175819,60,0,0,2025
54480,477,477,0,2025
676370,471,0,0,2025
1122459,220,0,0,2025
229148,394,0,0,2025
846417,71,0,0,2025
741664,66,179,0,2025
910740,412,0,0,2025
51254,106,106,0,2025
917659,1356,0,0,2025
734091,528,0,0,2025
694972,42,0,0,2025
1127354,723,0,0,2025
1207503,341,0,0,2025
1230383,467,0,0,2025
1084566,725,0,0,2025
244343,328,0,0,2025
946028,820,0,0,2025
1252258,572,0,0,2025
911253,256,0,0,2025
902021,390,0,0,2025
1172171,540,0,0,2025
749492,788,0,0,2025
236477,410,0,0,2025
53490,227,0,0,2025
741637,108,0,0,2025
234407,361,0,0,2025
1179491,290,0,0,2025
943409,1163,0,0,2025
253429,1021,0,0,2025
908980,652,0,0,2025
834206,242,0,0,2025
707281,1028,0,0,2025
739399,327,0,0,2025
729230,323,0,0,2025
736480,197,0,0,2025
251391,598,0,0,2025
966458,369,0,0,2025
919644,746,0,0,2025
797362,262,262,0,2025
885936,925,0,0,2025
748049,360,0,0,2025
177409,800,0,0,2025
825443,237,0,0,2025
901959,188,206,0,2025
797405,457,0,0,2025
1096921,298,0,0,2025
17128,847,0,0,2025
12455,776,0,0,2025
835076,371,0,0,2025
727971,211,0,0,2025
872350,269,0,0,2025
710269,298,0,0,2025
1080130,288,0,0,2025
698929,269,0,0,2025
691526,714,0,0,2025
797507,331,0,0,2025
242233,570,570,0,2025
899795,211,0,0,2025
1242010,169,0,0,2025
917505,1325,15,0,2025
1022224,798,0,0,2025
768534,461,0,0,2025
152833,834,0,0,2025
239606,507,0,0,2025
58922,1033,0,0,2025
76894,1582,0,0,2025
903514,726,0,0,2025
127063,442,0,0,2025
159380,144,0,0,2025
1022222,422,0,0,2025
681313,512,0,0,2025
973951,526,0,0,2025
962018,466,0,0,2025
167553,343,0,0,2025
121972,495,0,0,2025
159410,804,0,0,2025
833481,583,0,0,2025
839928,378,0,0,2025
840604,270,0,0,2025
1172550,84,0,0,2025
810726,871,0,0,2025
219203,279,0,0,2025
945181,438,0,0,2025
768564,192,0,0,2025
161877,374,0,0,2025
682539,459,0,0,2025
840696,649,0,0,2025
787780,275,0,0,2025
1121754,333,0,0,2025
1104886,357,0,0,2025
821641,874,0,0,2025
223225,792,0,0,2025
105111,23,23,0,2025
715985,427,0,0,2025
759355,140,152,0,2025
822046,823,0,0,2025
920037,435,0,0,2025
795407,802,0,0,2025
45393,474,0,0,2025
754263,1082,0,0,2025
1199104,1564,0,0,2025
874763,364,0,0,2025
958176,574,0,0,2025
993427,530,0,0,2025
832671,737,0,0,2025
1098479,271,0,0,2025
139771,388,0,0,2025
783266,545,0,0,2025
835124,55,0,0,2025
49724,597,0,0,2025
833992,305,0,0,2025
1171872,95,0,0,2025
841340,657,0,0,2025
83535,266,0,0,2025
194877,297,0,0,2025
702149,165,0,0,2025
977776,1206,0,0,2025
933123,588,0,0,2025
756091,323,0,0,2025
873594,116,135,0,2025
797375,295,0,0,2025
75920,858,0,0,2025
169095,811,0,0,2025
12576,413,0,0,2025
925276,484,0,0,2025
795619,116,116,0,2025
707971,272,0,0,2025
224393,337,0,0,2025
10483,579,0,0,2025
126947,493,0,0,2025
740452,381,0,0,2025
954623,630,0,0,2025
756182,302,0,0,2025
752499,588,0,0,2025
890990,457,0,0,2025
58598,188,0,0,2025
1098314,106,0,0,2025
973746,224,0,0,2025
750106,299,0,0,2025
225470,569,0,0,2025
918616,899,0,0,2025
821508,298,0,0,2025
732029,341,0,0,2025
1162286,1002,0,0,2025
961384,405,0,0,2025
722034,1561,1187,0,2025
856546,493,0,0,2025
232637,342,0,0,2025
958066,620,620,0,2025
1197791,1054,0,0,2025
22430,898,0,0,2025
800745,726,0,0,2025
1129117,445,0,0,2025
827296,666,0,0,2025
778699,528,0,0,2025
211173,225,0,0,2025
697296,386,0,0,2025
756052,870,0,0,2025
1005653,229,0,0,2025
1024305,362,0,0,2025
1266413,99,0,0,2025
10133,538,0,0,2025
180794,315,0,0,2025
1223567,53,53,0,2025
111696,537,0,0,2025
987597,515,0,0,2025
958749,1040,0,0,2025
797237,144,0,0,2025
202857,295,0,0,2025
727985,365,0,0,2025
725564,283,283,0,2025
1156070,294,0,0,2025
797273,720,0,0,2025
834239,394,394,0,2025
932181,759,0,0,2025
1105111,391,0,0,2025
16827,492,148,0,2025
817165,523,0,0,2025
216667,181,0,0,2025
757260,284,0,0,2025
839403,617,0,0,2025
1035993,324,0,0,2025
173847,1806,0,0,2025
700780,309,0,0,2025
708837,440,0,0,2025
90085,41,0,0,2025
966479,236,0,0,2025
918156,329,0,0,2025
678800,527,0,0,2025
57931,694,0,0,2025
123568,1048,0,0,2025
31056,255,208,0,2025
736332,377,0,0,2025
697748,643,0,0,2025
234183,196,0,0,2025
890887,55,55,0,2025
840833,574,0,0,2025
851448,362,0,0,2025
766564,355,0,0,2025
731876,414,0,0,2025
963111,460,0,0,2025
688180,1065,0,0,2025
733459,15,82,0,2025
958677,574,0,0,2025
1247318,512,0,0,2025
683380,318,0,0,2025
1033417,1065,0,0,2025
682181,602,0,0,2025
712794,474,0,0,2025
198909,761,0,0,2025
873329,482,0,0,2025
104755,353,0,0,2025
795424,763,0,0,2025
235489,55,0,0,2025
1267429,386,0,0,2025
253425,422,0,0,2025
248041,130,130,0,2025
918895,517,0,0,2025
1037178,269,0,0,2025
1017520,593,0,0,2025
717333,10,26,0,2025
167503,388,0,0,2025
840963,334,0,0,2025
821557,243,0,0,2025
157843,995,995,0,2025
992804,664,0,0,2025
10726,258,0,0,2025
950466,315,0,0,2025
25757,1397,722,0,2025
779226,651,0,0,2025
850906,494,0,0,2025
944774,361,0,0,2025
821558,426,0,0,2025
1266344,356,0,0,2025
775065,461,0,0,2025
76874,5,5,0,2025
855589,457,0,0,2025
87152,565,0,0,2025
88909,91,91,0,2025
1184569,514,0,0,2025
768152,490,0,0,2025
708349,547,0,0,2025
766330,450,0,0,2025
1241253,182,0,0,2025
706952,1183,0,0,2025
957748,509,0,0,2025
159724,734,0,0,2025
732373,276,0,0,2025
820980,528,0,0,2025
816158,241,0,0,2025
1162403,28,28,0,2025
728123,722,722,0,2025
159404,154,0,0,2025
931502,104,42,0,2025
218328,82,82,0,2025
874744,134,134,0,2025
16813,1086,0,0,2025
947065,127,0,0,2025
36088,51,0,0,2025
703060,1390,0,0,2025
1246229,415,0,0,2025
931553,405,0,0,2025
156605,636,0,0,2025
732541,1415,0,0,2025
756511,185,0,0,2025
714089,361,0,0,2025
862495,615,0,0,2025
1212609,457,0,0,2025
838756,408,0,0,2025
1192777,27,27,0,2025
797320,998,35,0,2025
972471,620,0,0,2025
797466,783,0,0,2025
90812,615,0,0,2025
890759,424,0,0,2025
768664,779,0,0,2025
1236239,268,0,0,2025
748561,2092,0,0,2025
17282,625,0,0,2025
1134296,992,0,0,2025
717366,445,0,0,2025
170469,833,0,0,2025
20436,15,15,0,2025
786450,387,387,0,2025
1058936,1917,0,0,2025
944482,506,0,0,2025
889166,760,0,0,2025
152621,420,0,0,2025
134321,1361,0,0,2025
107814,438,0,0,2025
61206,696,0,0,2025
1020551,472,0,0,2025
731953,1901,0,0,2025
864250,311,0,0,2025
154534,850,0,0,2025
1100919,972,972,0,2025
66496,737,0,0,2025
943935,169,0,0,2025
959079,3517,3517,0,2025
891009,1614,0,0,2025
902835,602,0,0,2025
860479,53,0,0,2025
824934,450,0,0,2025
696121,545,0,0,2025
1189547,79,0,0,2025
1004245,485,0,0,2025
211685,417,0,0,2025
1057052,434,0,0,2025
889880,761,0,0,2025
884063,323,0,0,2025
1133262,828,0,0,2025
742491,283,0,0,2025
123081,518,0,0,2025
683653,465,0,0,2025
1254080,180,0,0,2025
1176414,492,0,0,2025
1189127,380,0,0,2025
1043065,322,0,0,2025
874768,344,0,0,2025
866761,96,0,0,2025
795729,457,0,0,2025
912743,1158,0,0,2025
1247706,461,0,0,2025
118517,508,0,0,2025
943968,640,640,0,2025
172580,383,0,0,2025
1015449,627,0,0,2025
873970,407,0,0,2025
1177785,342,0,0,2025
1093203,686,0,0,2025
238194,81,81,0,2025
975172,1567,0,0,2025
1056939,444,0,0,2025
731568,213,0,0,2025
10368,393,0,0,2025
1027740,529,0,0,2025
987815,303,0,0,2025
87644,260,0,0,2025
132806,853,1324,0,2025
890978,424,0,0,2025
117196,531,0,0,2025
1042613,565,0,0,2025
1232796,417,0,0,2025
850567,367,367,0,2025
739623,767,0,0,2025
71675,170,170,0,2025
735408,1531,0,0,2025
674511,463,0,0,2025
1207502,134,134,0,2025
775685,828,0,0,2025
799840,181,0,0,2025
129985,531,0,0,2025
152620,287,0,0,2025
1222606,1120,1120,0,2025
1131111,307,0,0,2025
847774,273,0,0,2025
942708,369,0,0,2025
700685,584,0,0,2025
176464,953,0,0,2025
697002,149,149,0,2025
966454,634,0,0,2025
1187923,356,0,0,2025
956921,400,0,0,2025
1030548,305,0,0,2025
81245,783,0,0,2025
1226855,885,0,0,2025
1126390,73,0,0,2025
717396,0,883,0,2025
22422,0,1873,0,2025
183209,0,2968,0,2025
903672,0,639,0,2025
1219090,0,860,0,2025
701214,0,1900,0,2025
840327,0,1494,0,2025
886164,0,1800,0,2025
198874,0,1449,0,2025
797352,0,1115,0,2025
674256,0,1534,0,2025
833248,0,880,0,2025
813866,0,2062,0,2025
235091,0,1635,0,2025
1032888,0,107,0,2025
146433,0,749,0,2025
739765,0,1381,0,2025
829697,0,310,0,2025
455549,0,136,0,2025
526595,0,641,0,2025
1323,0,1372,0,2025
1605,0,1011,0,2025
570079,0,1180,0,2025
671228,0,390,0,2025
425270,0,1445,0,2025
1773,0,596,0,2025
660606,0,1828,0,2025
658936,0,1377,0,2025
376760,0,763,0,2025
635096,0,533,0,2025
1965,0,44,0,2025
492761,0,129,0,2025
303199,0,1590,0,2025
340181,0,2264,0,2025
513540,0,1438,0,2025
547559,0,502,0,2025
451498,0,513,0,2025
1778,0,1070,0,2025
344463,0,243,0,2025
1877,0,154,0,2025
462283,0,1319,0,2025
494920,0,61,0,2025
455013,0,1005,0,2025
461952,0,783,0,2025
325106,0,1895,0,2025
578033,0,154,0,2025
663070,0,68,4786,2025
265281,0,1101,0,2025
440301,0,1145,0,2025
487033,0,412,0,2025
594605,0,2618,0,2025
1859,0,1509,0,2025
276254,0,925,0,2025
660743,0,1625,0,2025
668658,0,1725,0,2025
431188,0,1459,0,2025
534899,0,1383,0,2025
476651,0,1900,0,2025
3261,0,2005,0,2025
566395,0,1260,0,2025
816104,0,956,0,2025
1187092,0,485,0,2025
959089,0,958,0,2025
832638,0,2407,0,2025
26956,0,149,0,2025
11022,0,1757,0,2025
975166,0,2503,0,2025
706634,0,384,0,2025
88954,0,161,0,2025
1155579,0,2,0,2025
126970,0,1622,0,2025
868486,0,1275,0,2025
700777,0,1803,0,2025
159421,0,108,0,2025
911258,0,1103,0,2025
913705,0,221,0,2025
57311,0,257,0,2025
697450,0,2026,0,2025
884145,0,770,0,2025
756059,0,2057,0,2025
726178,0,1462,0,2025
91565,0,2070,0,2025
913317,0,52,0,2025
47057,0,1360,0,2025
108055,0,1625,0,2025
812871,0,1486,0,2025
697848,0,2266,0,2025
957529,0,1810,0,2025
152781,0,1979,0,2025
872914,0,1098,0,2025
720656,0,142,0,2025
795268,0,1010,0,2025
160941,0,1885,0,2025
889211,0,311,0,2025
721669,0,1618,0,2025
700806,0,1800,0,2025
913979,0,1601,0,2025
959316,0,1283,0,2025
824345,0,1394,0,2025
840142,0,6,0,2025
1171546,0,1833,0,2025
887616,0,16,0,2025
143622,0,864,0,2025
974297,0,1377,0,2025
680437,0,583,0,2025
70736,0,1313,0,2025
173870,0,1627,0,2025
229203,0,1918,0,2025
102241,0,210,0,2025
921246,0,1442,0,2025
1225508,0,1425,0,2025
768159,0,993,0,2025
1104871,0,2020,0,2025
1037794,0,430,0,2025
796750,0,1987,0,2025
1055208,0,10,0,2025
111727,0,277,0,2025
966322,0,589,0,2025
803353,0,1432,0,2025
815046,0,1604,0,2025
721521,0,1050,0,2025
256304,0,2543,0,2025
1078442,0,0,4701,2025
740439,0,0,10272,2025
768992,0,0,4632,2025
1110053,0,0,1560,2025
716569,0,0,386,2025
718311,0,0,1051,2025
305217,0,0,140,2025
653,0,0,752,2025
427609,0,0,7369,2025
537641,0,0,4214,2025
432441,0,0,4797,2025
591990,0,0,4772,2025
486971,0,0,5820,2025
495757,0,0,3779,2025
476204,0,0,3673,2025
472424,0,0,2881,2025
377717,0,0,7009,2025
864614,0,0,1562,2025
852160,0,0,361,2025
813605,0,0,96,2025
903885,0,0,4758,2025
803940,0,0,172,2025
1133328,0,0,4366,2025
104918,0,0,9770,2025
1089776,0,0,5552,2025
795018,0,0,10289,2025
220196,0,0,11690,2025
829190,0,0,8256,2025
1136670,0,0,733,2025
932775,0,0,4521,2025
1230975,0,0,3589,2025
797163,0,0,43317,2025
915582,0,0,860,2025
795274,0,0,8375,2025
708822,0,0,6024,2025
716797,0,0,997,2025
1258256,0,0,1323,2025
123168,0,0,362,2025
888863,0,0,538,2025
